Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Couple Leisure,Economy Class,Copenhagen to Sarajevo,September 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Copenhagen,Sarajevo
Couple Leisure,Economy Class,Budapest to Stockholm Skavsta,September 2022,1.0,1.0,2.0,1.0,1.0,2.0,No,wizz-air,Budapest,Stockholm Skavsta
Couple Leisure,Economy Class,Funchal to Gatwick,September 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Funchal,Gatwick
Solo Leisure,Economy Class,Tirana to Berlin,September 2022,1.0,1.0,1.0,1.0,2.0,1.0,No,wizz-air,Tirana,Berlin
Family Leisure,Economy Class,Suceava to Luton,May 2022,3.0,5.0,3.0,1.0,1.0,1.0,No,wizz-air,Suceava,Luton
Family Leisure,Economy Class,Cardiff to Heraklion,June 2022,1.0,2.0,2.0,1.0,1.0,3.0,No,wizz-air,Cardiff,Heraklion
Solo Leisure,Economy Class,Rome to London,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Rome,London
Business,Economy Class,Naples to Cluj,September 2022,2.0,3.0,3.0,3.0,1.0,4.0,No,wizz-air,Naples,Cluj
Couple Leisure,Economy Class,Budapest to Gatwick,August 2022,1.0,2.0,1.0,1.0,1.0,1.0,No,wizz-air,Budapest,Gatwick
Family Leisure,Economy Class,Cardiff to Alicante,September 2022,1.0,2.0,2.0,1.0,5.0,1.0,No,wizz-air,Cardiff,Alicante
Family Leisure,Economy Class,Austria to Gatwick,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Austria,Gatwick
Family Leisure,Economy Class,Vienna to Gatwick,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Vienna,Gatwick
Solo Leisure,Economy Class,Paris to Warsaw,August 2022,1.0,1.0,1.0,1.0,3.0,1.0,No,wizz-air,Paris,Warsaw
Solo Leisure,Economy Class,Sofia to Paris,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Sofia,Paris
Family Leisure,Economy Class,Bergen to Gdansk,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Bergen,Gdansk
Couple Leisure,Economy Class,Abu Dubai to Amman,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Abu Dubai,Amman
Family Leisure,Economy Class,Budapest to Rome Fiumicino,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Budapest,Rome Fiumicino
Solo Leisure,Economy Class,Belgrade to Rome,August 2022,1.0,1.0,1.0,1.0,5.0,5.0,Yes,wizz-air,Belgrade,Rome
Couple Leisure,Economy Class,Abu Dhabi to Baku,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Abu Dhabi,Baku
Family Leisure,Economy Class,London Gatwick to Tel Aviv,August 2022,3.0,5.0,2.0,1.0,5.0,5.0,Yes,wizz-air,London Gatwick,Tel Aviv
Family Leisure,Economy Class,London to Malaga,August 2022,3.0,1.0,2.0,1.0,1.0,1.0,No,wizz-air,London,Malaga
Couple Leisure,Economy Class,Karlsruhe to Sibiu,August 2022,3.0,3.0,3.0,3.0,1.0,1.0,No,wizz-air,Karlsruhe,Sibiu
Family Leisure,Economy Class,Tirana to Abu Dhabi,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Tirana,Abu Dhabi
Couple Leisure,Economy Class,Gatwick to Malaga,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Gatwick,Malaga
Couple Leisure,Economy Class,Budapest to Bari,August 2022,5.0,5.0,1.0,1.0,5.0,5.0,Yes,wizz-air,Budapest,Bari
Couple Leisure,Economy Class,Luton to Dubrovnik,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Luton,Dubrovnik
Business,Economy Class,Catania to Verona,August 2022,4.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Catania,Verona
Couple Leisure,Economy Class,Alexandria to Abu Dhabi,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Alexandria,Abu Dhabi
Family Leisure,Economy Class,Rome to Baku via Budapest,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Rome,Baku
Solo Leisure,Economy Class,Venice to Tel Aviv,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Venice,Tel Aviv
Family Leisure,Economy Class,Luton to Sofia,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Luton,Sofia
Couple Leisure,Economy Class,Gatwick to Palermo,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Gatwick,Palermo
Solo Leisure,Economy Class,Faro to London,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Faro,London
Solo Leisure,Economy Class,Sofia to Larnaca,August 2022,4.0,5.0,5.0,1.0,5.0,4.0,Yes,wizz-air,Sofia,Larnaca
Family Leisure,Economy Class,London Gatwick to Tenerife,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,London Gatwick,Tenerife
Family Leisure,Economy Class,London Gatwick to Tenerife,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,London Gatwick,Tenerife
Family Leisure,Economy Class,Budapest to Dubai,July 2022,3.0,5.0,3.0,1.0,1.0,3.0,No,wizz-air,Budapest,Dubai
Couple Leisure,Economy Class,Hamburg to Sarajevo,July 2022,1.0,1.0,1.0,1.0,1.0,2.0,No,wizz-air,Hamburg,Sarajevo
Couple Leisure,Economy Class,Luton to Dubrovnik,July 2022,4.0,1.0,1.0,1.0,1.0,3.0,No,wizz-air,Luton,Dubrovnik
Family Leisure,Economy Class,Tuzla to Basel ,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Tuzla,Basel 
Couple Leisure,Economy Class,Palma to London,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Palma,London
Couple Leisure,Economy Class,Amman to Abu Dhabi,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Amman,Abu Dhabi
Solo Leisure,Economy Class,Porto to Milan,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Porto,Milan
Couple Leisure,Economy Class,Gatwick to Athens,May 2022,2.0,4.0,4.0,1.0,3.0,5.0,Yes,wizz-air,Gatwick,Athens
Business,Economy Class,Paris to Larnaca,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Paris,Larnaca
Family Leisure,Economy Class,Frankfurt-Hahn to Belgrade,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Frankfurt-Hahn,Belgrade
Couple Leisure,Economy Class,Milan to Santorini,July 2022,1.0,2.0,1.0,1.0,1.0,1.0,No,wizz-air,Milan,Santorini
Couple Leisure,Economy Class,Rome to Vienna,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Rome,Vienna
Solo Leisure,Economy Class,Luton to Lisbon,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Luton,Lisbon
Couple Leisure,Economy Class,Luton to Tirana,July 2022,1.0,1.0,1.0,1.0,1.0,3.0,No,wizz-air,Luton,Tirana
Solo Leisure,Economy Class,Naples to Gatwick,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Naples,Gatwick
Couple Leisure,Economy Class,Luton to Santorini,July 2022,2.0,1.0,1.0,1.0,2.0,1.0,No,wizz-air,Luton,Santorini
Family Leisure,Economy Class,Larnaca to Tel Aviv ,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Larnaca,Tel Aviv 
Solo Leisure,Economy Class,Luton to Dubrovnik,July 2022,3.0,2.0,1.0,1.0,1.0,1.0,No,wizz-air,Luton,Dubrovnik
Family Leisure,Economy Class,Bergen to Gdansk,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Bergen,Gdansk
Family Leisure,Economy Class,Bratislava to London,July 2022,1.0,1.0,1.0,1.0,1.0,2.0,No,wizz-air,Bratislava,London
Couple Leisure,Economy Class,Gatwick to Tel Aviv,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Gatwick,Tel Aviv
Family Leisure,Economy Class,Bucharest to Abu Dhabi,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Bucharest,Abu Dhabi
Family Leisure,Economy Class,Venice to Gatwick,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Venice,Gatwick
Couple Leisure,Economy Class,Chania to Vienna,July 2022,2.0,2.0,1.0,1.0,1.0,1.0,No,wizz-air,Chania,Vienna
Solo Leisure,Economy Class,Mykonos to London,July 2022,1.0,1.0,1.0,1.0,1.0,2.0,No,wizz-air,Mykonos,London
Family Leisure,Economy Class,Milan to Cagliari,April 2022,3.0,4.0,1.0,1.0,1.0,1.0,No,wizz-air,Milan,Cagliari
Family Leisure,Economy Class,Milan to Prague,June 2022,2.0,4.0,1.0,1.0,1.0,1.0,No,wizz-air,Milan,Prague
Solo Leisure,Economy Class,Luton to Iasi ,July 2022,1.0,1.0,1.0,1.0,1.0,2.0,No,wizz-air,Luton,Iasi 
Solo Leisure,Economy Class,Cardiff to Larnaca,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Cardiff,Larnaca
Solo Leisure,Economy Class,Warsaw to Alicante,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Warsaw,Alicante
Solo Leisure,Economy Class,Luton to Lisbon,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Luton,Lisbon
Solo Leisure,Premium Economy,Sweden to Netherlands,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Sweden,Netherlands
Solo Leisure,Economy Class,Paris Orly to Budapest,April 2022,3.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Paris Orly,Budapest
Solo Leisure,Business Class,Gatwick to Chania,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Gatwick,Chania
Solo Leisure,Economy Class,Malaga to London Luton,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Malaga,London Luton
Family Leisure,Economy Class,Rome to Heraklion,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Rome,Heraklion
Couple Leisure,Economy Class,Venice to Bari,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Venice,Bari
Solo Leisure,Economy Class,Warsaw to Rome,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Warsaw,Rome
Couple Leisure,Economy Class,Larnaca to London Luton,June 2022,2.0,2.0,2.0,1.0,1.0,1.0,No,wizz-air,Larnaca,London Luton
Solo Leisure,Economy Class,London Luton to Tel Aviv,May 2022,1.0,3.0,1.0,1.0,1.0,4.0,No,wizz-air,London Luton,Tel Aviv
Solo Leisure,Economy Class,Athens to Gatwick,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Athens,Gatwick
Solo Leisure,Economy Class,Podgorica to Gatwick,May 2022,1.0,1.0,1.0,1.0,2.0,2.0,No,wizz-air,Podgorica,Gatwick
Solo Leisure,Economy Class,Belgrade to Larnaca,June 2022,1.0,5.0,1.0,1.0,1.0,1.0,No,wizz-air,Belgrade,Larnaca
Family Leisure,Economy Class,London Gatwick to Athens ,June 2022,4.0,5.0,1.0,1.0,5.0,5.0,Yes,wizz-air,London Gatwick,Athens 
Business,Economy Class,Memmingen to Podgorica,June 2022,2.0,1.0,1.0,1.0,1.0,2.0,No,wizz-air,Memmingen,Podgorica
Solo Leisure,Economy Class,Abu Dhabi to Santorini,June 2022,4.0,5.0,5.0,1.0,5.0,5.0,Yes,wizz-air,Abu Dhabi,Santorini
Couple Leisure,Economy Class,Kaunas to Bergen,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Kaunas,Bergen
Solo Leisure,Economy Class,London to Tirana,May 2022,2.0,2.0,2.0,1.0,2.0,2.0,No,wizz-air,London,Tirana
Solo Leisure,Economy Class,Iasi to Luton,April 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Iasi,Luton
Couple Leisure,Economy Class,Tel Aviv to London,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Tel Aviv,London
Solo Leisure,Economy Class,Abu Dhabi to Amman,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Abu Dhabi,Amman
Family Leisure,Economy Class,Tenerife to Luton,March 2022,1.0,2.0,1.0,1.0,1.0,1.0,No,wizz-air,Tenerife,Luton
Couple Leisure,Economy Class,London Gatwick to Athens,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,London Gatwick,Athens
Business,Economy Class,Larnaca to Athens,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Larnaca,Athens
Solo Leisure,Economy Class,Gatwick to Milan,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Gatwick,Milan
Family Leisure,Economy Class,Vienna to Barcelona,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Vienna,Barcelona
Couple Leisure,Economy Class,Belgrade to Rome,May 2022,3.0,4.0,1.0,1.0,3.0,3.0,Yes,wizz-air,Belgrade,Rome
Solo Leisure,Economy Class,Milan to Bucharest,May 2022,5.0,5.0,5.0,1.0,5.0,5.0,Yes,wizz-air,Milan,Bucharest
Solo Leisure,Economy Class,Larnaca to Copenaghen,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Larnaca,Copenaghen
Solo Leisure,Economy Class,Sarajevo to Charleroi,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Sarajevo,Charleroi
Couple Leisure,Economy Class,Abu Dhabi to Athens,May 2022,3.0,4.0,3.0,1.0,3.0,5.0,Yes,wizz-air,Abu Dhabi,Athens
Couple Leisure,Economy Class,Catania to Abu Dhabi,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Catania,Abu Dhabi
Family Leisure,Economy Class,Brussels to Bucharest,August 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Brussels,Bucharest
Couple Leisure,Economy Class,Tel Aviv to Dubai,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Tel Aviv,Dubai
Couple Leisure,Economy Class,Malaga to Luton,May 2022,1.0,3.0,2.0,1.0,1.0,1.0,No,wizz-air,Malaga,Luton
Solo Leisure,Economy Class,Sofia to Lisbon,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Sofia,Lisbon
Solo Leisure,Economy Class,Gatwick to Milan Malpensa,December 2021,3.0,1.0,1.0,1.0,4.0,3.0,No,wizz-air,Gatwick,Milan Malpensa
Solo Leisure,Economy Class,Palermo to Prague,April 2022,3.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Palermo,Prague
Family Leisure,Economy Class,Dubai to Bucharest,May 2020,1.0,1.0,1.0,1.0,1.0,4.0,No,wizz-air,Dubai,Bucharest
Solo Leisure,Economy Class,Vienna to Amman ,April 2022,1.0,1.0,1.0,1.0,1.0,3.0,No,wizz-air,Vienna,Amman 
Family Leisure,Economy Class,Tirana to Madrid via Tirana,April 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Tirana,Madrid
Couple Leisure,Economy Class,Budapest to Athens,October 2021,4.0,5.0,4.0,1.0,5.0,5.0,Yes,wizz-air,Budapest,Athens
Couple Leisure,Economy Class,Budapest to Milan,April 2022,2.0,2.0,1.0,1.0,2.0,1.0,No,wizz-air,Budapest,Milan
Couple Leisure,Economy Class,Eindhoven to Budapest,August 2021,1.0,1.0,1.0,1.0,1.0,2.0,No,wizz-air,Eindhoven,Budapest
Couple Leisure,Economy Class,London Gatwick to Naples,April 2022,3.0,2.0,1.0,1.0,1.0,1.0,No,wizz-air,London Gatwick,Naples
Business,Economy Class,Bucharest to Vienna,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Bucharest,Vienna
Couple Leisure,Economy Class,Funchal to London Gatwick,April 2022,4.0,5.0,3.0,1.0,2.0,5.0,Yes,wizz-air,Funchal,London Gatwick
Solo Leisure,Economy Class,London Luton to Thessaloniki,March 2022,5.0,5.0,1.0,5.0,5.0,5.0,Yes,wizz-air,London Luton,Thessaloniki
Couple Leisure,Economy Class,London Gatwick to Rome,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,London Gatwick,Rome
Business,Economy Class,London to Milan,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,London,Milan
Couple Leisure,Economy Class,Porto to Vienna,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Porto,Vienna
Couple Leisure,Economy Class,Venice to Luton,March 2022,2.0,2.0,2.0,1.0,2.0,2.0,No,wizz-air,Venice,Luton
Solo Leisure,Economy Class,Luton to Athens,February 2022,2.0,5.0,1.0,1.0,3.0,5.0,Yes,wizz-air,Luton,Athens
Couple Leisure,Economy Class,UK to Ukraine,February 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,UK,Ukraine
Couple Leisure,Economy Class,Athens to Abu Dhabi,February 2022,4.0,3.0,1.0,1.0,5.0,5.0,Yes,wizz-air,Athens,Abu Dhabi
Couple Leisure,Economy Class,Vienna to Luton,December 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Vienna,Luton
Solo Leisure,Economy Class,Berlin to Kiev,January 2022,5.0,5.0,5.0,1.0,4.0,5.0,Yes,wizz-air,Berlin,Kiev
Solo Leisure,Economy Class,Eindhoven to Chișinău ,January 2022,2.0,2.0,2.0,1.0,1.0,1.0,No,wizz-air,Eindhoven,Chișinău 
Couple Leisure,Economy Class,London to Keflavik,February 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,London,Keflavik
Family Leisure,Economy Class,Grenoble to Luton,January 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Grenoble,Luton
Couple Leisure,Economy Class,Budapest to Paris,January 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Budapest,Paris
Couple Leisure,Economy Class,Gatwick to Lanzarote,January 2022,1.0,2.0,1.0,1.0,1.0,2.0,No,wizz-air,Gatwick,Lanzarote
Family Leisure,Economy Class,London Gatwick to Arrecife,December 2021,4.0,5.0,4.0,1.0,4.0,4.0,Yes,wizz-air,London Gatwick,Arrecife
Solo Leisure,Economy Class,Vilnius to Birmingham,December 2021,2.0,2.0,1.0,1.0,3.0,2.0,No,wizz-air,Vilnius,Birmingham
Couple Leisure,Economy Class,Belgrade to London Luton,August 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Belgrade,London Luton
Couple Leisure,Economy Class,Bucharest to Venice,November 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Bucharest,Venice
Solo Leisure,Economy Class,Paris to Warsaw,November 2021,2.0,1.0,1.0,1.0,1.0,2.0,No,wizz-air,Paris,Warsaw
Business,Economy Class,Luton to Chisinău,November 2021,2.0,4.0,1.0,1.0,1.0,2.0,No,wizz-air,Luton,Chisinău
Solo Leisure,Economy Class,Warsaw to Stockholm,October 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Warsaw,Stockholm
Couple Leisure,Economy Class,Luton to Athens,October 2021,2.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Luton,Athens
Family Leisure,Economy Class,Warsaw to Bergamo,October 2021,2.0,3.0,2.0,1.0,1.0,2.0,No,wizz-air,Warsaw,Bergamo
Business,Economy Class,Larnaca to Thessaloniki,October 2021,2.0,2.0,1.0,1.0,4.0,3.0,No,wizz-air,Larnaca,Thessaloniki
Family Leisure,Economy Class,Luton to Rome ,October 2021,3.0,5.0,1.0,1.0,1.0,1.0,No,wizz-air,Luton,Rome 
Solo Leisure,Economy Class,Iasi to Luton,October 2021,2.0,1.0,1.0,1.0,4.0,4.0,Yes,wizz-air,Iasi,Luton
Couple Leisure,Economy Class,Oslo Torp to Bucharest,October 2021,4.0,5.0,3.0,1.0,3.0,4.0,Yes,wizz-air,Oslo Torp,Bucharest
Couple Leisure,Economy Class,Naples to Vienna,October 2021,1.0,2.0,1.0,1.0,1.0,1.0,No,wizz-air,Naples,Vienna
Couple Leisure,Premium Economy,Catania to Milan Malpensa,October 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Catania,Milan Malpensa
Couple Leisure,Economy Class,Tirana to Milan,September 2021,3.0,3.0,1.0,1.0,1.0,1.0,No,wizz-air,Tirana,Milan
Solo Leisure,Economy Class,Budapest to Reykjavik,September 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Budapest,Reykjavik
Family Leisure,Economy Class,Athens to Larnaca,October 2020,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Athens,Larnaca
Solo Leisure,Economy Class,Naples to Milan,September 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Naples,Milan
Solo Leisure,Economy Class,Budapest to Basel,September 2021,2.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Budapest,Basel
Couple Leisure,Economy Class,Nuremberg to Skopje,August 2021,3.0,1.0,3.0,1.0,2.0,2.0,No,wizz-air,Nuremberg,Skopje
Couple Leisure,Economy Class,Athens to Vienna,September 2021,2.0,3.0,1.0,1.0,1.0,1.0,No,wizz-air,Athens,Vienna
Solo Leisure,Economy Class,Luton to Warsaw,August 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Luton,Warsaw
Solo Leisure,Economy Class,Vienna to Thessaloniki,August 2021,2.0,3.0,1.0,1.0,1.0,2.0,No,wizz-air,Vienna,Thessaloniki
Couple Leisure,Economy Class,Wroclaw to Mykonos,August 2021,1.0,3.0,1.0,1.0,1.0,3.0,No,wizz-air,Wroclaw,Mykonos
Solo Leisure,Economy Class,Palma de Mallorca to Larnaca via Budapest,August 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Palma de Mallorca,Larnaca
Family Leisure,Economy Class,Rome to Bucharest,August 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Rome,Bucharest
Family Leisure,Economy Class,Luton to Zakynthos,August 2021,1.0,1.0,1.0,1.0,1.0,2.0,No,wizz-air,Luton,Zakynthos
Couple Leisure,Economy Class,Doncaster to Alicante,August 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Doncaster,Alicante
Family Leisure,Economy Class,London to Dalaman ,July 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,London,Dalaman 
Family Leisure,Economy Class,Tirana to Luton ,August 2021,3.0,2.0,1.0,1.0,1.0,1.0,No,wizz-air,Tirana,Luton 
Solo Leisure,Economy Class,Catania to Pisa,August 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Catania,Pisa
Couple Leisure,Economy Class,Chania to Sofia,August 2021,2.0,2.0,1.0,1.0,2.0,2.0,No,wizz-air,Chania,Sofia
Couple Leisure,Economy Class,Vienna to Podgorica,July 2021,2.0,3.0,2.0,1.0,1.0,2.0,No,wizz-air,Vienna,Podgorica
Family Leisure,Economy Class,Luton to Malaga,May 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Luton,Malaga
Solo Leisure,Economy Class,Basel to Tirana,August 2021,1.0,2.0,1.0,1.0,1.0,3.0,No,wizz-air,Basel,Tirana
Couple Leisure,Economy Class,Stockholm to Bucharest,August 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Stockholm,Bucharest
Family Leisure,Economy Class,Austria to Tel Aviv,July 2021,1.0,1.0,1.0,1.0,1.0,2.0,No,wizz-air,Austria,Tel Aviv
Solo Leisure,Economy Class,Basel to Budapest,August 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Basel,Budapest
Family Leisure,Economy Class,Dortmund to Bari,July 2021,3.0,3.0,1.0,1.0,3.0,1.0,No,wizz-air,Dortmund,Bari
Solo Leisure,Economy Class,Vienna to Athens,July 2021,5.0,5.0,5.0,5.0,5.0,5.0,No,wizz-air,Vienna,Athens
Family Leisure,Economy Class,Vienna to Podgorica,July 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Vienna,Podgorica
Solo Leisure,Economy Class,London Luton to Gibraltar,July 2021,3.0,3.0,1.0,1.0,1.0,1.0,No,wizz-air,London Luton,Gibraltar
Family Leisure,Economy Class,Cluj Romania to Hamburg Germany,July 2021,3.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Cluj Romania,Hamburg Germany
Family Leisure,Economy Class,Warsaw to Malta,July 2021,3.0,3.0,1.0,1.0,1.0,2.0,No,wizz-air,Warsaw,Malta
Solo Leisure,Economy Class,Thessaloniki to Larnaca,June 2021,1.0,3.0,1.0,1.0,1.0,1.0,No,wizz-air,Thessaloniki,Larnaca
Family Leisure,Economy Class,Bari to Bucharest,July 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Bari,Bucharest
Business,Economy Class,Rome to Tirana,July 2021,1.0,2.0,1.0,1.0,1.0,1.0,No,wizz-air,Rome,Tirana
Solo Leisure,Economy Class,Bordeaux to Sofia via Naples,July 2021,1.0,4.0,1.0,1.0,1.0,1.0,No,wizz-air,Bordeaux,Sofia
Solo Leisure,Economy Class, Abu Dhabi to Athens,July 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air, Abu Dhabi,Athens
Couple Leisure,Economy Class,Athens to Vienna,July 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Athens,Vienna
Business,Economy Class,Athens to Larnaca,July 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Athens,Larnaca
Couple Leisure,Economy Class,Luton to Cluj,June 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Luton,Cluj
Solo Leisure,Economy Class,Luton to Moscow,June 2021,3.0,3.0,1.0,1.0,2.0,2.0,No,wizz-air,Luton,Moscow
Family Leisure,Economy Class,Burgas to Stansted,December 2020,1.0,1.0,1.0,1.0,1.0,3.0,No,wizz-air,Burgas,Stansted
Family Leisure,Economy Class,Iceland to London,June 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,Iceland,London
Solo Leisure,Economy Class,London to Olsztyn,December 2020,3.0,3.0,1.0,1.0,1.0,4.0,No,wizz-air,London,Olsztyn
Solo Leisure,Economy Class,Milan to Tirana,March 2021,1.0,1.0,1.0,1.0,1.0,2.0,No,wizz-air,Milan,Tirana
Family Leisure,Economy Class,Luton to Craiova,February 2021,3.0,1.0,2.0,1.0,1.0,3.0,No,wizz-air,Luton,Craiova
Couple Leisure,Economy Class,London to Poznan,December 2020,1.0,1.0,1.0,1.0,1.0,5.0,Yes,wizz-air,London,Poznan
Solo Leisure,Economy Class,London to Sofia,February 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,wizz-air,London,Sofia
Couple Leisure,Economy Class,Gibraltar to London,December 2020,2.0,2.0,2.0,1.0,1.0,1.0,No,wizz-air,Gibraltar,London
Solo Leisure,Economy Class,Memmingen to Timisoara,October 2020,3.0,2.0,1.0,1.0,3.0,3.0,No,wizz-air,Memmingen,Timisoara
Solo Leisure,Economy Class,London Gatwick to Tenerife,December 2020,1.0,2.0,1.0,1.0,1.0,1.0,No,wizz-air,London Gatwick,Tenerife
