Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Solo Leisure,Economy Class,London to Helsinki,July 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,London,Helsinki
Solo Leisure,Business Class,Frankfurt to Bangkok via Helsinki ,August 2021,1.0,5.0,1.0,2.0,2.0,1.0,No,finnair,Frankfurt,Bangkok
Couple Leisure,Economy Class,Boston to Dubrovnik,August 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Boston,Dubrovnik
Family Leisure,Economy Class,Helsinki to Budapest,May 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,Budapest
Solo Leisure,Business Class,Helsinki to Málaga,June 2021,2.0,5.0,4.0,1.0,3.0,2.0,Yes,finnair,Helsinki,Málaga
Solo Leisure,Economy Class,Denver to London,May 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Denver,London
Solo Leisure,Economy Class,Helsinki to Prague,March 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,Prague
Family Leisure,Economy Class,Manchester to Helsinki,February 2021,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Manchester,Helsinki
Family Leisure,Premium Economy,San Francisco to Amsterdam,July 2020,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,San Francisco,Amsterdam
Business,Business Class,Hong Kong to Zurich via Helsinki,August 2020,3.0,1.0,1.0,2.0,2.0,1.0,No,finnair,Hong Kong,Zurich
Family Leisure,Economy Class,Helsinki Vantaa to Ivalo,November 2019,5.0,4.0,1.0,1.0,4.0,3.0,Yes,finnair,Helsinki Vantaa,Ivalo
Solo Leisure,Business Class,Helsinki to Rome,August 2020,3.0,4.0,5.0,1.0,3.0,5.0,Yes,finnair,Helsinki,Rome
Couple Leisure,Business Class,Munich to Helsinki,August 2020,5.0,5.0,4.0,1.0,5.0,5.0,Yes,finnair,Munich,Helsinki
Couple Leisure,Economy Class,Bangkok to London via Helsinki,March 2020,1.0,2.0,1.0,1.0,3.0,2.0,No,finnair,Bangkok,London
Couple Leisure,Economy Class,Dubai to Helsinki,March 2020,5.0,5.0,4.0,5.0,5.0,4.0,Yes,finnair,Dubai,Helsinki
Solo Leisure,Economy Class,London to Hong Kong via Helsinki,March 2020,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,London,Hong Kong
Business,Economy Class,Helsinki to Moscow,February 2020,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Helsinki,Moscow
Business,Business Class,London to Tel Aviv via Helsinki,February 2020,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,London,Tel Aviv
Solo Leisure,Business Class,Oslo to Bangkok via Helsinki,February 2020,4.0,2.0,2.0,3.0,3.0,4.0,No,finnair,Oslo,Bangkok
Solo Leisure,Economy Class,London to Los Angeles via Helsinki,January 2020,3.0,4.0,4.0,1.0,4.0,4.0,Yes,finnair,London,Los Angeles
Couple Leisure,Economy Class,Stockholm to Nagoya via Helsinki,February 2020,2.0,1.0,2.0,2.0,1.0,1.0,No,finnair,Stockholm,Nagoya
Business,Business Class,Helsinki to Seoul ,February 2020,5.0,5.0,5.0,3.0,4.0,5.0,Yes,finnair,Helsinki,Seoul 
Solo Leisure,Economy Class,Paris to Tokyo via Helsinki,December 2019,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Paris,Tokyo
Family Leisure,Economy Class,Gdańsk to Hong Kong via Helsinki,January 2020,3.0,4.0,3.0,3.0,5.0,5.0,Yes,finnair,Gdańsk,Hong Kong
Solo Leisure,Business Class,Manchester to Bangkok via Helsinki,January 2020,5.0,5.0,5.0,5.0,5.0,5.0,Yes,finnair,Manchester,Bangkok
