Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Business,Business Class,New York to Helsinki,September 2021,4.0,4.0,2.0,3.0,2.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Vienna to Helsinki,September 2021,2.0,3.0,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,London to Helsinki,July 2021,,,,,,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Frankfurt to Bangkok via Helsinki ,August 2021,1.0,5.0,1.0,2.0,2.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Boston to Dubrovnik,August 2021,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Helsinki to Budapest,May 2021,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Helsinki to Málaga,June 2021,2.0,5.0,4.0,,3.0,2.0,Recommendedyes,finnair
Solo Leisure,Economy Class,Denver to London,May 2021,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki to Prague,March 2021,,,,,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Manchester to Helsinki,February 2021,,,,,1.0,1.0,Recommendedno,finnair
Family Leisure,Premium Economy,San Francisco to Amsterdam,July 2020,1.0,1.0,,,1.0,1.0,Recommendedno,finnair
Business,Business Class,Hong Kong to Zurich via Helsinki,August 2020,3.0,1.0,1.0,2.0,2.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Helsinki Vantaa to Ivalo,November 2019,5.0,4.0,,,4.0,3.0,Recommendedyes,finnair
Solo Leisure,Business Class,Helsinki to Rome,August 2020,3.0,4.0,5.0,,3.0,5.0,Recommendedyes,finnair
Couple Leisure,Business Class,Munich to Helsinki,August 2020,5.0,5.0,4.0,,5.0,5.0,Recommendedyes,finnair
Couple Leisure,Economy Class,,April 2020,,,,,,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Bangkok to London via Helsinki,March 2020,1.0,2.0,,,3.0,2.0,Recommendedno,finnair
Couple Leisure,Economy Class,Dubai to Helsinki,March 2020,5.0,5.0,4.0,5.0,5.0,4.0,Recommendedyes,finnair
Solo Leisure,Economy Class,London to Hong Kong via Helsinki,March 2020,,,,,,1.0,Recommendedno,finnair
